run_id,frame,track_id,classe,x1,y1,x2,y2,confiance
3,2,1410,car,339,526,445,595,0.77
3,2,1411,car,695,484,758,533,0.786
3,3,1410,car,323,530,431,600,0.736
3,3,1411,car,687,486,753,538,0.799
3,4,1410,car,304,538,414,607,0.745
3,4,1411,car,679,491,747,544,0.761
3,5,1410,car,299,540,409,610,0.74
3,5,1411,car,677,493,746,545,0.761
3,6,1410,car,269,548,386,622,0.754
3,6,1411,car,664,498,736,555,0.79
3,7,1410,car,243,553,366,633,0.807
3,7,1411,car,656,502,730,559,0.811
3,8,1410,car,219,562,350,642,0.746
3,8,1411,car,648,507,723,566,0.775
3,8,1414,car,1132,440,1178,480,0.673
3,9,1410,car,195,569,332,648,0.774
3,9,1411,car,637,511,716,571,0.811
3,10,1410,car,170,575,313,657,0.793
3,10,1411,car,628,516,709,577,0.725
3,11,1410,car,142,583,293,675,0.811
3,11,1411,car,619,522,704,585,0.726
3,12,1410,car,113,591,271,686,0.722
3,12,1411,car,609,527,695,591,0.737
3,13,1410,car,81,601,246,700,0.781
3,13,1411,car,598,532,687,599,0.706
3,14,1410,car,48,611,223,714,0.781
3,14,1411,car,587,539,679,606,0.798
3,14,1417,car,1805,660,1919,786,0.618
3,15,1410,car,12,622,198,728,0.747
3,15,1411,car,574,544,672,614,0.722
3,15,1417,car,1778,653,1918,777,0.718
3,15,1420,car,1284,793,1515,979,0.608
3,16,1410,car,0,638,172,743,0.793
3,16,1411,car,562,549,664,622,0.725
3,16,1417,car,1750,642,1918,759,0.79
3,16,1420,car,1264,771,1483,945,0.664
3,17,1410,car,0,649,144,759,0.713
3,17,1411,car,547,555,654,632,0.694
3,17,1417,car,1723,630,1918,751,0.721
3,17,1420,car,1249,741,1447,906,0.637
3,18,1410,car,0,658,110,769,0.745
3,18,1411,car,534,562,643,640,0.568
3,18,1417,car,1698,618,1907,736,0.738
3,18,1420,car,1233,719,1418,871,0.584
3,19,1410,car,0,668,76,772,0.692
3,19,1411,car,519,571,633,647,0.661
3,19,1417,car,1673,607,1882,723,0.648
3,19,1420,car,1218,699,1391,843,0.599
3,20,1411,car,507,577,622,649,0.53
3,20,1417,car,1649,599,1850,709,0.731
3,20,1420,car,1205,684,1367,820,0.598
3,21,1411,car,489,586,610,671,0.615
3,21,1417,car,1626,591,1819,696,0.851
3,21,1420,car,1202,669,1348,797,0.626
3,22,1411,car,472,592,599,684,0.648
3,22,1417,car,1606,583,1790,687,0.799
3,22,1420,car,1188,656,1329,777,0.608
3,23,1411,car,453,600,588,699,0.726
3,23,1417,car,1590,579,1763,678,0.862
3,23,1420,car,1177,647,1311,756,0.692
3,24,1411,car,436,608,576,711,0.709
3,24,1417,car,1570,571,1737,657,0.748
3,24,1420,car,1172,639,1294,738,0.58
3,25,1411,car,416,619,561,726,0.604
3,25,1417,car,1552,564,1713,645,0.828
3,25,1420,car,1163,626,1279,722,0.523
3,26,1411,car,391,638,546,743,0.758
3,26,1417,car,1537,557,1692,640,0.758
3,26,1420,car,1153,610,1266,710,0.694
3,27,1411,car,367,648,531,756,0.811
3,27,1417,car,1522,551,1670,635,0.802
3,27,1420,car,1147,597,1255,694,0.652
3,28,1411,car,340,656,513,774,0.661
3,28,1417,car,1508,544,1649,628,0.71
3,29,1411,car,312,668,496,795,0.681
3,29,1417,car,1497,539,1631,620,0.777
3,29,1423,car,683,425,732,464,0.718
3,30,1411,car,279,680,478,818,0.814
3,30,1417,car,1484,534,1614,614,0.69
3,30,1423,car,678,425,730,465,0.695
3,30,1424,car,1740,958,1918,1079,0.776
3,30,1425,car,1730,748,1918,889,0.793
3,31,1411,car,244,692,457,844,0.774
3,31,1417,car,1471,528,1597,607,0.746
3,31,1424,car,1704,925,1918,1079,0.769
3,31,1425,car,1701,729,1919,863,0.851
3,31,1426,car,644,487,718,547,0.67
